datetime,Device,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
14/07/18 16:37:17,dm-2,0.0,0.0,2239.0,0.0,17904.0,0.0,15.99,0.83,0.37,0.37,0.0,0.25,56.3
14/07/18 16:37:18,dm-2,0.0,0.0,1959.0,0.0,15664.0,0.0,15.99,0.72,0.37,0.37,0.0,0.28,55.4
14/07/18 16:37:19,dm-2,0.0,0.0,1264.0,0.0,10104.0,0.0,15.99,0.48,0.38,0.38,0.0,0.31,39.0
14/07/18 16:37:20,dm-2,0.0,0.0,1140.0,0.0,9120.0,0.0,16.0,0.46,0.41,0.41,0.0,0.34,39.1
14/07/18 16:37:21,dm-2,0.0,0.0,1993.0,0.0,15944.0,0.0,16.0,0.72,0.36,0.36,0.0,0.27,54.4
14/07/18 16:37:22,dm-2,0.0,0.0,1085.0,0.0,8672.0,0.0,15.99,0.42,0.39,0.39,0.0,0.3,32.6
14/07/18 16:37:23,dm-2,0.0,0.0,1012.0,1.0,8096.0,16.0,16.02,0.4,0.4,0.4,0.0,0.33,33.4
14/07/18 16:37:24,dm-2,0.0,0.0,1163.0,0.0,9304.0,0.0,16.0,0.46,0.4,0.4,0.0,0.33,38.5
14/07/18 16:37:25,dm-2,0.0,0.0,1558.0,0.0,12464.0,0.0,16.0,0.61,0.39,0.39,0.0,0.32,49.9
14/07/18 16:37:26,dm-2,0.0,0.0,1130.0,0.0,9024.0,0.0,15.97,0.46,0.4,0.4,0.0,0.33,36.9
14/07/18 16:37:27,dm-2,0.0,0.0,1097.0,0.0,8776.0,0.0,16.0,0.44,0.4,0.4,0.0,0.34,36.8
14/07/18 16:37:28,dm-2,0.0,0.0,1412.0,0.0,11296.0,0.0,16.0,0.58,0.41,0.41,0.0,0.32,45.2
14/07/18 16:37:29,dm-2,0.0,0.0,923.0,0.0,7384.0,0.0,16.0,0.4,0.43,0.43,0.0,0.38,34.9
14/07/18 16:37:30,dm-2,0.0,0.0,795.0,0.0,6352.0,0.0,15.98,0.33,0.41,0.41,0.0,0.37,29.2
14/07/18 16:37:31,dm-2,0.0,0.0,676.0,0.0,5392.0,0.0,15.95,0.29,0.43,0.43,0.0,0.39,26.6
14/07/18 16:37:32,dm-2,0.0,0.0,1217.0,0.0,9728.0,0.0,15.99,0.5,0.41,0.41,0.0,0.34,41.8
14/07/18 16:37:33,dm-2,0.0,0.0,2156.0,0.0,17232.0,0.0,15.99,0.74,0.34,0.34,0.0,0.26,56.6
14/07/18 16:37:34,dm-2,0.0,0.0,1509.0,0.0,12056.0,0.0,15.98,0.68,0.45,0.45,0.0,0.35,53.4
14/07/18 16:37:35,dm-2,0.0,0.0,859.0,0.0,6872.0,0.0,16.0,0.39,0.46,0.46,0.0,0.4,34.5
14/07/18 16:37:36,dm-2,0.0,0.0,1576.0,0.0,12608.0,0.0,16.0,0.58,0.37,0.37,0.0,0.3,47.4
14/07/18 16:37:37,dm-2,0.0,0.0,1696.0,0.0,13568.0,0.0,16.0,0.66,0.39,0.39,0.0,0.31,52.4
14/07/18 16:37:38,dm-2,0.0,0.0,1203.0,0.0,9624.0,0.0,16.0,0.48,0.4,0.4,0.0,0.35,41.6
14/07/18 16:37:39,dm-2,0.0,0.0,1413.0,0.0,11304.0,0.0,16.0,0.55,0.39,0.39,0.0,0.33,46.4
14/07/18 16:37:40,dm-2,0.0,0.0,2705.0,0.0,21640.0,0.0,16.0,0.95,0.35,0.35,0.0,0.2,53.4
14/07/18 16:37:41,dm-2,0.0,0.0,2096.0,0.0,16752.0,0.0,15.98,0.8,0.38,0.38,0.0,0.28,58.0
14/07/18 16:37:42,dm-2,0.0,0.0,3348.0,0.0,26784.0,0.0,16.0,1.33,0.4,0.4,0.0,0.22,74.2
14/07/18 16:37:43,dm-2,0.0,0.0,848.0,0.0,6784.0,0.0,16.0,0.38,0.45,0.45,0.0,0.38,32.0
14/07/18 16:37:44,dm-2,0.0,0.0,3886.0,0.0,31056.0,0.0,15.98,1.53,0.39,0.39,0.0,0.21,81.3
14/07/18 16:37:45,dm-2,0.0,0.0,2495.0,0.0,19960.0,0.0,16.0,0.98,0.39,0.39,0.0,0.28,69.0
14/07/18 16:37:46,dm-2,0.0,0.0,2408.0,0.0,19264.0,0.0,16.0,0.92,0.38,0.38,0.0,0.29,69.5
14/07/18 16:37:47,dm-2,0.0,0.0,1937.0,0.0,15496.0,0.0,16.0,0.73,0.38,0.38,0.0,0.29,56.6
14/07/18 16:37:48,dm-2,0.0,0.0,2180.0,0.0,17440.0,0.0,16.0,0.81,0.37,0.37,0.0,0.29,63.3
14/07/18 16:37:49,dm-2,0.0,0.0,954.0,0.0,7632.0,0.0,16.0,0.38,0.4,0.4,0.0,0.36,34.2
14/07/18 16:37:50,dm-2,0.0,0.0,808.0,0.0,6464.0,0.0,16.0,0.37,0.45,0.45,0.0,0.37,29.5
14/07/18 16:37:51,dm-2,0.0,0.0,925.0,0.0,7400.0,0.0,16.0,0.43,0.47,0.47,0.0,0.4,37.0
14/07/18 16:37:52,dm-2,0.0,0.0,1926.0,0.0,15384.0,0.0,15.98,0.86,0.45,0.45,0.0,0.33,64.1
14/07/18 16:37:53,dm-2,0.0,0.0,1654.0,0.0,13224.0,0.0,15.99,0.73,0.44,0.44,0.0,0.32,53.6
14/07/18 16:37:54,dm-2,0.0,0.0,1655.0,1.0,13240.0,32.0,16.03,0.64,0.38,0.38,1.0,0.29,47.8
14/07/18 16:37:55,dm-2,0.0,0.0,1500.0,0.0,12000.0,0.0,16.0,0.53,0.36,0.36,0.0,0.3,45.1
14/07/18 16:37:56,dm-2,0.0,0.0,1912.0,0.0,15296.0,0.0,16.0,0.73,0.38,0.38,0.0,0.29,56.2
14/07/18 16:37:57,dm-2,0.0,0.0,1183.0,0.0,9464.0,0.0,16.0,0.47,0.4,0.4,0.0,0.31,37.1
14/07/18 16:37:58,dm-2,0.0,0.0,1876.0,0.0,15008.0,0.0,16.0,0.67,0.36,0.36,0.0,0.29,53.8
14/07/18 16:37:59,dm-2,0.0,0.0,1439.0,0.0,11488.0,0.0,15.97,0.56,0.39,0.39,0.0,0.32,46.5
14/07/18 16:38:00,dm-2,0.0,0.0,1034.0,0.0,8272.0,0.0,16.0,0.42,0.41,0.41,0.0,0.34,35.3
