datetime,Glorefs,RemGrefs,GRratio,PhyRds,Rdratio,Gloupds,RemGupds,Rourefs,RemRrefs,RouLaS,RemRLaS,PhyWrs,WDQsz,WDtmpq,WDphase,WIJwri,RouCMs,Jrnwrts,ActECP,Addblk,PrgBufL,PrgSrvR,BytSnt,BytRcd,WDpass,IJUcnt,IJULock,PPGrefs,PPGupds
07/14/2018 16:37:17,937532,0,0,2035,309.86,100010,0,407192,0,19,0,0,1876,31112,0,0,55,5,0,0,0,0,0,0,289,0,0,144018,67313
07/14/2018 16:37:18,1762660,0,0,2013,611.87,117642,0,594752,0,72,0,0,2171,31288,0,0,137,10,0,0,0,0,0,0,289,0,0,216344,70342
07/14/2018 16:37:19,688492,0,0,1213,399.48,61937,0,298584,0,1,0,0,2192,31320,0,0,105,5,0,0,0,0,0,0,289,0,0,64085,30808
07/14/2018 16:37:20,1134189,0,0,1091,568.12,96872,0,397846,0,0,0,0,2216,31414,0,0,101,6,0,0,0,0,0,0,289,0,0,129753,58852
07/14/2018 16:37:21,1253053,0,0,2172,342.31,72131,0,462184,0,0,0,0,2240,31529,0,0,63,5,0,0,0,0,0,0,289,0,0,102051,40804
07/14/2018 16:37:22,1107716,0,0,927,780.7,59498,0,456019,0,0,0,0,2260,31609,0,0,37,3,0,0,0,0,0,0,289,0,0,77474,30696
07/14/2018 16:37:23,1277517,0,0,1125,675.09,86412,0,452547,0,19,0,0,2286,31713,0,0,77,6,0,0,0,0,0,0,289,0,0,98866,46263
07/14/2018 16:37:24,1235037,0,0,1063,630.8,91667,0,416226,0,57,0,0,2334,31792,0,0,104,5,0,0,0,0,0,0,289,0,0,151376,58901
07/14/2018 16:37:25,996306,0,0,1527,423.64,92837,0,405433,0,18,0,0,2413,31904,0,0,96,5,0,0,0,0,0,0,289,0,0,155546,60816
07/14/2018 16:37:26,1381509,0,0,1215,691.23,94589,0,557572,0,0,0,0,2437,32025,0,0,90,6,0,0,0,0,0,0,289,0,0,132790,53540
07/14/2018 16:37:27,1598250,0,0,1116,718.32,92461,0,391071,0,0,0,0,2448,32100,0,0,71,3,0,0,0,0,0,0,289,0,0,157824,62794
07/14/2018 16:37:28,1685003,0,0,1393,690.97,109995,0,514034,0,0,0,0,2472,32253,0,0,65,6,0,0,0,0,0,0,289,0,0,183181,69286
07/14/2018 16:37:29,929411,0,0,826,687.71,96098,0,417834,0,0,0,0,2490,32349,0,0,88,6,0,0,0,0,0,0,289,0,0,130178,60991
07/14/2018 16:37:30,1041157,0,0,871,835.72,67781,0,353512,0,0,0,0,2508,32474,0,0,115,4,0,0,0,0,0,0,289,0,0,78825,37224
07/14/2018 16:37:31,1041446,0,0,622,1072.6,79888,0,454851,0,0,0,0,2528,32593,0,0,103,5,0,0,0,0,0,0,289,0,0,87598,41470
07/14/2018 16:37:32,1377844,0,0,1291,544.3,95142,0,460767,0,0,0,0,2550,32665,0,0,51,4,0,0,0,0,0,0,289,0,0,163871,63172
07/14/2018 16:37:33,1437417,0,0,2076,443.98,109203,0,465318,0,0,0,0,2572,32799,0,0,111,5,0,0,0,0,0,0,289,0,0,169618,67995
07/14/2018 16:37:34,1124355,0,0,1475,509.89,100971,0,417043,0,0,0,0,2593,32900,0,0,92,5,0,0,0,0,0,0,289,0,0,167254,66095
07/14/2018 16:37:35,727329,0,0,983,522.77,69609,0,395434,0,0,0,0,2616,32984,0,0,55,5,0,0,0,0,0,0,289,0,0,92150,39204
07/14/2018 16:37:36,1049837,0,0,1430,434.16,79024,0,433012,0,0,0,0,2639,33118,0,0,124,5,0,0,0,0,0,0,289,0,0,94679,41319
07/14/2018 16:37:37,1003639,0,0,1740,367.09,88162,0,454301,0,72,0,0,2918,33237,0,0,151,9,0,0,0,0,0,0,289,0,0,102420,45101
07/14/2018 16:37:38,961632,0,0,1188,473.54,71295,0,383589,0,18,0,0,2998,33339,0,0,92,5,0,0,0,0,0,0,289,0,0,85824,37826
07/14/2018 16:37:39,1526626,0,0,1338,823.5,107642,0,455298,0,0,0,0,3018,33486,0,0,46,5,0,0,0,0,0,0,289,0,0,161772,68682
07/14/2018 16:37:40,1382908,0,0,2808,299.41,68140,0,397097,0,0,0,0,3030,33568,0,0,79,3,0,0,0,0,0,0,289,0,0,91967,37329
07/14/2018 16:37:41,1404323,0,0,2371,301.85,80204,0,479020,0,38,0,0,3076,33669,0,0,109,7,0,0,0,0,0,0,289,1,0,102663,41661
07/14/2018 16:37:42,1707930,0,0,3022,335.93,82161,0,570372,0,38,0,0,3115,33790,0,0,95,5,0,0,0,0,0,0,289,0,0,107206,42593
07/14/2018 16:37:43,1003148,0,0,852,745.37,76239,0,447829,0,19,0,0,3148,33938,0,0,120,6,0,0,0,0,0,0,289,0,0,96193,39626
07/14/2018 16:37:44,1310525,0,0,4060,153.42,98917,0,339169,0,0,0,0,3169,34026,0,0,71,5,0,0,0,0,0,0,289,0,0,159169,67310
07/14/2018 16:37:45,1443920,0,0,2465,278.13,110715,0,378822,0,54,0,0,3410,34116,0,0,100,7,0,0,0,0,0,0,289,0,0,178882,69641
07/14/2018 16:37:46,979487,0,0,2329,282.37,70012,0,423474,0,84,0,0,3579,34215,0,0,134,8,0,0,0,0,0,0,289,0,0,77340,32459
07/14/2018 16:37:47,1459608,0,0,1982,421.47,97598,0,491694,0,0,0,0,3602,34327,0,0,82,5,0,0,0,0,0,0,289,0,0,164741,63720
07/14/2018 16:37:48,1065460,0,0,2175,275.86,80391,0,387213,0,0,0,0,3625,34438,0,0,99,5,0,0,0,0,0,0,289,0,0,93706,40811
07/14/2018 16:37:49,1514191,0,0,893,1045.5,102304,0,539219,0,18,0,0,3707,34529,0,0,64,5,0,0,0,0,0,0,289,0,0,173530,63921
07/14/2018 16:37:50,857218,0,0,721,832.45,77917,0,422754,0,0,0,0,3727,34645,0,0,56,4,0,0,0,0,0,0,289,0,0,97628,45405
