datetime,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
07/14/18 16:37:16,21,2,0,67423744,26456,3140524,0,0,4084,292,7,12,0,2,65,33,0
07/14/18 16:37:17,14,1,0,67410768,26528,3140576,0,0,17972,676,26672,7389,30,1,67,2,0
07/14/18 16:37:18,19,1,0,67411328,26608,3141716,0,0,15688,1520,25313,6210,30,0,68,2,0
07/14/18 16:37:19,14,0,0,67409160,26640,3141748,0,0,10088,631,19269,4529,23,0,76,1,0
07/14/18 16:37:20,13,0,0,67409392,26688,3141804,0,0,9112,912,24103,4413,32,0,67,1,0
07/14/18 16:37:21,15,2,0,67409824,26736,3141864,0,0,15984,873,24206,6085,30,0,68,2,0
07/14/18 16:37:22,13,1,0,67410120,26768,3141980,0,0,8640,608,20669,3892,27,0,71,1,0
07/14/18 16:37:23,15,0,0,67410808,26808,3141980,0,0,8128,776,22101,3978,29,0,70,1,0
07/14/18 16:37:24,14,1,0,67410560,26856,3142032,0,0,9296,912,21742,4236,29,0,70,1,0
07/14/18 16:37:25,15,0,0,67408744,26896,3142096,0,0,12488,760,22850,5800,28,0,70,1,0
07/14/18 16:37:26,17,0,0,67409368,26952,3142124,0,0,8976,928,24686,4333,34,0,65,1,0
07/14/18 16:37:27,9,0,0,67413792,26976,3142204,0,0,8816,556,22740,4080,32,0,67,1,0
07/14/18 16:37:28,13,1,0,67413968,27024,3142204,0,0,11264,912,24243,5128,31,0,68,1,0
07/14/18 16:37:29,13,0,0,67413456,27072,3142228,0,0,7368,912,23593,3753,33,0,66,1,0
07/14/18 16:37:30,19,1,0,67411824,27104,3142312,0,0,6384,608,18712,3355,25,0,75,1,0
07/14/18 16:37:31,9,1,0,67411376,27152,3142324,0,0,5368,780,21872,3055,30,0,69,1,0
07/14/18 16:37:32,13,0,0,67411488,27184,3142368,0,0,9744,612,22900,4287,31,0,67,1,0
07/14/18 16:37:33,12,0,0,67411568,27224,3142440,0,0,17340,768,27516,6547,34,0,64,2,0
07/14/18 16:37:34,12,1,0,67409488,27264,3142528,0,0,12040,760,23771,5137,30,0,69,1,0
07/14/18 16:37:35,9,1,0,67408480,27304,3142540,0,0,7000,788,20823,3656,27,0,72,1,0
07/14/18 16:37:36,17,0,0,67408152,27344,3142668,0,0,12488,624,22440,5027,28,0,71,1,0
07/14/18 16:37:37,14,0,0,67408136,27416,3142596,0,0,13560,1368,24017,5493,30,0,68,1,0
07/14/18 16:37:38,16,0,0,67407424,27464,3142720,0,0,9656,912,20253,4355,26,0,73,1,0
07/14/18 16:37:39,13,0,0,67406960,27504,3142780,0,0,11256,760,22020,4825,27,0,71,1,0
07/14/18 16:37:40,13,2,0,67407656,27528,3142860,0,0,21856,460,23624,7403,26,0,71,2,0
07/14/18 16:37:41,18,2,0,67408016,27584,3142888,0,0,16728,928,25386,6261,31,0,67,2,0
07/14/18 16:37:42,18,0,0,67408488,27632,3143064,0,0,26608,912,28830,8750,33,0,64,3,0
07/14/18 16:37:43,11,0,0,67409088,27680,3143116,0,0,6776,912,21770,3455,30,0,69,1,0
07/14/18 16:37:44,12,2,0,67407968,27712,3143188,0,0,31280,608,26735,9885,26,0,70,3,0
07/14/18 16:37:45,10,1,0,67407880,27776,3143256,0,0,19952,1216,23910,7195,25,0,72,2,0
07/14/18 16:37:46,14,0,0,67408640,27840,3143332,0,0,19352,1080,23177,7019,25,0,72,2,0
07/14/18 16:37:47,10,0,0,67407824,27880,3143400,0,0,15280,760,25404,5781,33,0,65,2,0
07/14/18 16:37:48,16,1,0,67407696,27928,3143496,0,0,17552,912,24028,6530,27,0,71,2,0
07/14/18 16:37:49,15,0,0,67408360,27960,3143592,0,0,7552,636,23686,3764,33,0,66,1,0
07/14/18 16:37:50,12,0,0,67408128,28000,3143600,0,0,6408,764,21565,3478,30,0,69,1,0
07/14/18 16:37:51,20,1,0,67408224,28064,3143600,0,0,7480,1889,24382,3735,36,0,63,1,0
07/14/18 16:37:52,15,1,0,67407384,28096,3143676,0,0,15320,608,26370,5940,34,0,64,2,0
07/14/18 16:37:53,11,2,0,67407360,28144,3143724,0,0,13656,912,24629,5508,32,0,66,1,0
07/14/18 16:37:54,8,1,0,67407208,28192,3143804,0,0,12968,944,23306,5291,29,0,69,1,0
07/14/18 16:37:55,10,0,0,67407112,28224,3143920,0,0,11784,608,22484,5304,26,0,72,1,0
07/14/18 16:37:56,13,1,0,67403248,28264,3143900,0,0,15584,660,23550,5893,29,0,69,2,0
07/14/18 16:37:57,13,1,0,67402400,28296,3144028,0,0,9552,608,22167,3984,30,0,69,1,0
07/14/18 16:37:58,15,1,0,67402464,28336,3144020,0,0,14744,772,26877,5664,35,0,64,1,0
07/14/18 16:37:59,10,1,0,67401904,28368,3143988,0,0,11496,612,22159,4866,28,0,71,1,0
07/14/18 16:38:00,14,1,0,67401664,28408,3144172,0,0,8320,760,22530,4770,30,0,69,1,0
07/14/18 16:38:01,21,2,0,67401312,28464,3144240,0,0,9648,956,25819,4360,36,0,63,1,0
07/14/18 16:38:02,10,0,0,67395712,28512,3144304,0,0,13056,912,22534,5338,28,0,71,1,0
07/14/18 16:38:03,11,0,0,67395640,28552,3144368,0,0,18536,870,24567,6695,29,0,69,2,0
07/14/18 16:38:04,15,0,0,67394672,28592,3144460,0,0,10344,760,21871,4358,28,0,71,1,0
07/14/18 16:38:05,15,0,0,67394064,28616,3144488,0,0,17112,456,25805,6146,33,0,65,2,0
07/14/18 16:38:06,12,0,0,67393728,28656,3144584,0,0,8688,688,24079,4119,33,0,66,1,0
07/14/18 16:38:07,13,0,0,67392584,28712,3144656,0,0,10112,68531,23386,9201,22,0,76,1,0
07/14/18 16:38:08,8,1,0,67392312,28752,3144704,0,0,8600,764,21745,3917,28,0,71,1,0
07/14/18 16:38:09,9,1,0,67392104,28784,3144784,0,0,22368,612,25355,7417,28,0,70,2,0
07/14/18 16:38:10,9,1,0,67392416,28840,3144840,0,0,18336,1080,26288,8133,29,0,69,2,0
07/14/18 16:38:11,14,1,0,67391280,28888,3144944,0,0,10192,776,20102,4433,25,0,74,1,0
07/14/18 16:38:12,13,1,0,67391576,28936,3145028,0,0,15400,912,22784,5592,28,0,70,2,0
07/14/18 16:38:13,11,1,0,67391504,28968,3144996,0,0,7016,608,19875,3319,26,0,73,1,0
07/14/18 16:38:14,16,1,0,67391808,29008,3145084,0,0,10400,760,24030,4623,32,0,67,1,0
07/14/18 16:38:15,13,1,0,67391144,29056,3145128,0,0,13456,912,23049,5438,28,0,70,1,0
07/14/18 16:38:16,18,0,0,67391408,29112,3145176,0,0,6048,928,22265,3299,31,0,68,1,0
07/14/18 16:38:17,10,0,0,67391376,29144,3145200,0,0,5816,608,20675,3066,29,0,71,1,0
07/14/18 16:38:18,14,1,0,67390352,29184,3145252,0,0,7232,760,22677,3753,31,0,68,1,0
07/14/18 16:38:19,12,1,0,67390648,29232,3145296,0,0,10120,969,23747,4446,32,0,67,1,0
07/14/18 16:38:20,14,1,0,67391112,29264,3145388,0,0,14480,608,22544,5464,28,0,70,1,0
07/14/18 16:38:21,10,0,0,67389536,29304,3145452,0,0,3880,627,17355,2440,24,0,76,0,0
07/14/18 16:38:22,13,0,0,67389680,29344,3145464,0,0,9552,764,21488,4455,27,0,71,1,0
07/14/18 16:38:23,14,2,0,67389360,29376,3145508,0,0,3432,608,20022,2364,30,0,70,0,0
07/14/18 16:38:24,14,1,0,67389096,29424,3145484,0,0,7560,1168,22116,3695,30,0,69,1,0
07/14/18 16:38:25,17,2,0,67388464,29464,3145560,0,0,19632,760,29584,7536,36,1,61,2,0
07/14/18 16:38:26,18,1,0,67388728,29520,3145536,0,0,14120,1124,28389,5786,39,0,59,1,0
07/14/18 16:38:27,12,1,0,67388064,29576,3145656,0,0,7784,1064,22514,3783,31,0,68,1,0
07/14/18 16:38:28,10,1,0,67388344,29616,3145684,0,0,7696,764,18172,3849,22,0,77,1,0
07/14/18 16:38:29,9,1,0,67388064,29672,3145716,0,0,13712,1064,22722,5525,27,0,71,1,0
07/14/18 16:38:30,13,0,0,67387920,29704,3145776,0,0,6240,608,18387,3368,24,0,75,1,0
07/14/18 16:38:31,10,0,0,67388464,29744,3145792,0,0,4144,640,20044,2671,28,0,72,0,0
07/14/18 16:38:32,13,0,0,67387712,29784,3145824,0,0,4504,760,19361,2755,27,0,73,1,0
07/14/18 16:38:33,11,2,0,67386912,29816,3145876,0,0,14380,616,21293,5508,25,0,74,1,0
07/14/18 16:38:34,12,1,0,67386736,29856,3145932,0,0,21552,888,26642,7525,31,0,67,2,0
07/14/18 16:38:35,16,3,0,67385584,29920,3146028,0,0,19336,1088,27912,7013,34,0,64,2,0
07/14/18 16:38:36,18,0,0,67384688,29968,3146220,0,0,29016,776,30286,9222,35,0,62,3,0
07/14/18 16:38:37,10,3,0,67384968,30016,3146188,0,0,19336,912,24433,6952,27,0,71,2,0
07/14/18 16:38:38,12,3,0,67384368,30048,3146352,0,0,17120,612,22310,6060,25,0,73,2,0
07/14/18 16:38:39,12,0,0,67384224,30096,3146436,0,0,13952,912,21452,5512,25,0,73,1,0
07/14/18 16:38:40,14,1,0,67383488,30136,3146512,0,0,9768,760,22541,4840,30,0,69,1,0
07/14/18 16:38:41,13,0,0,67383288,30184,3146548,0,0,6776,776,20307,3590,27,0,72,1,0
07/14/18 16:38:42,16,0,0,67382800,30224,3146580,0,0,9264,760,22034,4242,28,0,70,1,0
07/14/18 16:38:43,11,2,0,67382296,30264,3146680,0,0,24408,760,27174,8226,29,0,68,2,0
07/14/18 16:38:44,13,0,0,67382328,30304,3146740,0,0,17216,889,24020,6499,29,0,69,2,0
07/14/18 16:38:45,15,1,0,67382240,30344,3146796,0,0,13672,776,21983,5151,27,0,71,1,0
07/14/18 16:38:46,15,0,0,67381776,30392,3146880,0,0,9064,796,22561,4191,31,0,68,1,0
07/14/18 16:38:47,12,0,0,67380584,30440,3146896,0,0,5784,916,20726,3027,29,0,70,1,0
07/14/18 16:38:48,13,1,0,67380024,30480,3146952,0,0,6800,760,23311,3348,34,0,65,1,0
07/14/18 16:38:49,11,0,0,67379984,30520,3147004,0,0,6072,797,19640,3154,27,0,72,1,0
07/14/18 16:38:50,14,0,0,67379632,30560,3147016,0,0,10312,762,23029,4571,29,0,70,1,0
07/14/18 16:38:51,15,0,0,67377560,30616,3147076,0,0,11872,930,23258,5020,30,0,68,1,0
07/14/18 16:38:52,20,0,0,67374992,30664,3147124,0,0,7104,916,23985,3912,33,0,66,1,0
07/14/18 16:38:53,12,0,0,67373600,30712,3147180,0,0,6312,912,23265,3606,32,0,67,1,0
07/14/18 16:38:54,11,2,0,67372672,30752,3147204,0,0,6712,824,22199,3621,30,0,69,1,0
07/14/18 16:38:55,16,1,0,67372848,30776,3147328,0,0,16552,520,24756,6751,30,0,68,2,0
07/14/18 16:38:56,18,1,0,67372336,30824,3147280,0,0,7328,776,24285,3706,35,0,64,1,0
07/14/18 16:38:57,8,1,0,67371744,30856,3147384,0,0,4552,612,20371,2737,28,0,71,1,0
07/14/18 16:38:58,14,0,0,67372000,30904,3147356,0,0,13656,924,22691,5574,27,0,72,1,0
07/14/18 16:38:59,14,1,0,67366752,30944,3147512,0,0,11200,760,24873,4784,33,0,66,1,0
07/14/18 16:39:00,14,1,0,67366832,30984,3147488,0,0,12968,760,25196,5946,32,0,67,1,0
07/14/18 16:39:01,11,0,0,67366072,31048,3147644,0,0,14200,1292,23892,5775,29,0,69,1,0
07/14/18 16:39:02,8,0,0,67365576,31088,3147604,0,0,6512,760,18831,3447,24,0,75,1,0
07/14/18 16:39:03,14,1,0,67364864,31128,3147704,0,0,16016,760,22477,5838,28,0,70,2,0
07/14/18 16:39:04,7,1,0,67363304,31168,3147748,0,0,7400,760,20876,3679,28,0,71,1,0
07/14/18 16:39:05,13,0,0,67363488,31200,3147760,0,0,20568,608,20363,6909,22,0,76,2,0
07/14/18 16:39:06,16,0,0,67362912,31248,3147836,0,0,24072,816,28162,8184,32,0,65,2,0
07/14/18 16:39:07,9,3,0,67362952,31288,3148004,0,0,24504,764,27522,8199,31,0,66,2,0
07/14/18 16:39:08,9,1,0,67363216,31328,3148056,0,0,20408,760,25696,7124,30,0,67,2,0
07/14/18 16:39:09,14,1,0,67365496,31384,3148208,0,0,23352,1064,26226,8164,29,0,69,2,0
07/14/18 16:39:10,11,1,0,67364784,31424,3148332,0,0,9552,760,23398,4857,30,0,68,1,0
07/14/18 16:39:11,15,1,0,67364040,31472,3148432,0,0,6000,776,18968,3303,25,0,74,1,0
07/14/18 16:39:12,10,0,0,67363928,31512,3148392,0,0,4488,760,19138,2763,26,0,74,1,0
07/14/18 16:39:13,16,0,0,67363584,31544,3148464,0,0,5448,608,19829,2990,28,0,72,1,0
07/14/18 16:39:14,17,1,0,67328864,28096,3149032,0,0,14404,930,29251,5958,37,1,61,1,0
07/14/18 16:39:15,13,0,0,67326040,28152,3148536,0,0,11432,1080,26411,6335,34,0,64,1,0
07/14/18 16:39:16,14,3,0,67283648,28192,3148496,0,0,9416,628,25103,4586,35,0,64,1,0
07/14/18 16:39:17,10,0,0,67263392,28240,3148600,0,0,6680,912,22385,3694,31,0,68,1,0
07/14/18 16:39:18,13,0,0,67166336,28280,3148588,0,0,5696,760,20432,3184,28,1,71,1,0
07/14/18 16:39:19,16,1,0,67285984,28328,3148640,0,0,7840,2516,22531,4279,29,0,70,1,0
07/14/18 16:39:20,16,0,0,67245328,28368,3148720,0,0,5528,761,23964,3267,35,0,64,1,0
07/14/18 16:39:21,14,0,0,67172624,28408,3148732,0,0,4256,624,20627,2574,30,0,69,0,0
07/14/18 16:39:22,12,1,0,67289440,28440,3148632,0,0,9480,692,23130,4633,30,0,68,1,0
